tweetid|user|text
968491843062194176|maryannathomps3|RT @TeaPainUSA: Any #NRA member speakin' out against a minimum age requirement to buy a gun should be required to have an appendectomy perf…
968491843599167489|bettafish|"RT @ai_valentin: Let me explain a few things about this bullshit idea that people love of ""if you need psych meds, you never get a gun.""I…"
968491843661910018|fuun57|RT @kylegriffin1: Insurance broker Lockton, which has worked with the NRA on gun show and gun carrying policies, says it would no longer se…
968491843389452288|capollo45|RT @activist360: Crotchety dimwitted doofus Trump folds his arms and pouts like a constipated Mussolini as Dem governor Jay Inslee shreds h…
968491843154579463|TavoHoe2|RT @ChuntiChino: Lmao this is deadass what I think when they wanna give teacher guns😂💀 https://t.co/P6FE0rfuZ6
968491844010098688|SwTkthe1|RT @Thomas_195813: If teenagers are too immature and irresponsible to own own a gun, they are too immature and irresponsible  to make gun…
968491844412825601|grtrwomin|RT @RealJamesWoods: Maybe if children were taught substantive courses like mathematics and history more rigorously and less liberal nonsens…
968491844148572160|AllyyyMayyyy|RT @IDewWork: Let's give teachers guns. https://t.co/D6Nv8IyTUi
968491844513361920|artlung|This thread gives me hope where it's been very thin: in the reasonable gun controls legislation effort. Go teens go! https://t.co/nfqZcbjFqe
968491844383526912|Trumplo46575066|RT @Maryland4Trump2: 17 innocent people died because of the failures of law enforcement to do their jobs. It's that simple and that tragic.…
968491844576382976|Mattsmayhem1|RT @DUALIPA: Take a stand to stop gun crime. Support the families of the victims of Marjory Stoneman Douglas High School. If you can't dona…
968491844932796416|minister_bo|@JayWeber3 wouldn't it be something if it was found out that Sheriff Israel gave a stand down order (to create the… https://t.co/ZaYe5i0z7Y
968491845146828801|djake1107|RT @shannonrwatts: The Trump Slump has resulted in a $100 million gun sales dip since last year. Arming 40% of American teachers would gene…
968491845201297409|awoken19|RT @DrMartyFox: The #Marxist AKA Democrat MO:1. Create Or Fail To Prevent The Problem 2. Blame #Guns The #NRA The #Constitution 3. Th…
968491845352378369|LyricalMiracl17|RT @sighbrattt: I can’t fw Spinrilla. they be havin gun shots, air crafts, rocket sounds,  sirens, laser sounds &amp; the dj introduce himself…
968491845624807429|makharya|RT @AmandaMarcotte: https://t.co/mS4uA5fGou This litany is terrifying, but don’t fall for right wing talking points claiming the police cou…
968491845750751232|DavidChaneyjr2|RT @CNN: Warren Buffett says he won't stop doing business with gun owners https://t.co/DnIqAKnlSX https://t.co/YL7DErbMPd
968491845415206912|Daniedumont|RT @RWPUSA: This guy is a loser, going after a major corporate employer over his obsession with guns. It’s time for Delta to relocate HQ, p…
968491845817978880|2018questionall|RT @pkcapitol: Inside look at a rare Republican conversion on gun control: Florida Rep. Brian Mast, who lost both legs from IED in Kandahar…
968491845310386176|08wvdcfan|RT @TheRickWilson: You mean, just like the time Trump charged through machine gun fire to retrieve a wounded fellow Marine during a battle…
968491846493265923|GladysKravitz9|RT @Education4Libs: Liberals will demand gun control every time a crazy person shoots up a school, but never call for border control after…
968491846543532032|DiamondCasha|RT @IDewWork: Let's give teachers guns. https://t.co/D6Nv8IyTUi
968491846694592514|_JV59_|RT @BillRatchet: imagine explaining to the FBI that the gun u posted on instagram is just for a flex LMFAO
968491847327911936|ImCoreyJames|RT @longlivekcx: Donald, you tweeted this in 2016. What a hypocrite and poor example of a president you are. And yes, guns in the classroom…
968491847403343875|LeighFlayton|RT @TheRickWilson: You mean, just like the time Trump charged through machine gun fire to retrieve a wounded fellow Marine during a battle…
968491846744854528|icka_pendrick|RT @juliacarriew: swear to god this country will ban schools before it bans guns https://t.co/UACkW60CtM
968491847105630208|NAY_ked|RT @IDewWork: Let's give teachers guns. https://t.co/D6Nv8IyTUi
968491847369875457|oze1337|@Akim84_ @RealMira_xo son of a gun!
