from_user|to_user|text
MaClSch|LifeSite|RT @LifeSite: New pro-life film shows how abortion destroys the special bond a mother has with her baby https://t.co/kujbvQVin6
MaClSch|N/A|RT @LifeSite: New pro-life film shows how abortion destroys the special bond a mother has with her baby https://t.co/kujbvQVin6
DavisConsultNZ|trainspeedhump|RT @trainspeedhump: He even ruined her marriage. Vikki Campion was only married about 6 months when she got pregnant to bonking #BarnabyJoy…
DavisConsultNZ|N/A|RT @trainspeedhump: He even ruined her marriage. Vikki Campion was only married about 6 months when she got pregnant to bonking #BarnabyJoy…
jzvchik|CatholicMBlog|RT @CatholicMBlog: Wrong. Access to self-control is critical to economic security. https://t.co/tQd0gXXcGu
jzvchik|N/A|RT @CatholicMBlog: Wrong. Access to self-control is critical to economic security. https://t.co/tQd0gXXcGu
ottmar_neu|ottmar_neu|"RT @ottmar_neu: Marktlücke:es gibt eine ""Baby Born""...ich erfinde eine Fötuspuppe und nenn sie ""Baby Abortion"""
ottmar_neu|N/A|"RT @ottmar_neu: Marktlücke:es gibt eine ""Baby Born""...ich erfinde eine Fötuspuppe und nenn sie ""Baby Abortion"""
pripattie|aidan|RT @aidan: a planned parenthood march is not a “pro-abortion rally”, abortions only make up around 9% of what’s done at PP. you can have ch…
pripattie|N/A|RT @aidan: a planned parenthood march is not a “pro-abortion rally”, abortions only make up around 9% of what’s done at PP. you can have ch…
hor567|trainspeedhump|RT @trainspeedhump: He even ruined her marriage. Vikki Campion was only married about 6 months when she got pregnant to bonking #BarnabyJoy…
hor567|N/A|RT @trainspeedhump: He even ruined her marriage. Vikki Campion was only married about 6 months when she got pregnant to bonking #BarnabyJoy…
DosRivers|goodoldcatchy|RT @goodoldcatchy: Jesus wasn’t white. Trump isn’t a Christian. Trickle-down economics doesn’t work. A border wall isn’t feasible. Climate…
DosRivers|N/A|RT @goodoldcatchy: Jesus wasn’t white. Trump isn’t a Christian. Trickle-down economics doesn’t work. A border wall isn’t feasible. Climate…
steven_m_scott|GeorgiaDirtRoad|RT @GeorgiaDirtRoad: Listen as this Abortion doctor describes what happens during 2nd term abortions. His speech may be the most powerful y…
steven_m_scott|N/A|RT @GeorgiaDirtRoad: Listen as this Abortion doctor describes what happens during 2nd term abortions. His speech may be the most powerful y…
DaveronNicola|RENUAIreland|RT @RENUAIreland: Church of Ireland opposes unrestricted abortion in first 12 weeks of pregnancy https://t.co/p0a21hwrFX
DaveronNicola|N/A|RT @RENUAIreland: Church of Ireland opposes unrestricted abortion in first 12 weeks of pregnancy https://t.co/p0a21hwrFX
thebenda|trainspeedhump|"RT @trainspeedhump: It never was an ""affair of the heart"" or a relationship between people who were ""madly in love"" - @Barnaby_Joyce is a c…"
thebenda|Barnaby_Joyce|"RT @trainspeedhump: It never was an ""affair of the heart"" or a relationship between people who were ""madly in love"" - @Barnaby_Joyce is a c…"
thebenda|N/A|"RT @trainspeedhump: It never was an ""affair of the heart"" or a relationship between people who were ""madly in love"" - @Barnaby_Joyce is a c…"
ewozon|goodoldcatchy|RT @goodoldcatchy: Jesus wasn’t white. Trump isn’t a Christian. Trickle-down economics doesn’t work. A border wall isn’t feasible. Climate…
ewozon|N/A|RT @goodoldcatchy: Jesus wasn’t white. Trump isn’t a Christian. Trickle-down economics doesn’t work. A border wall isn’t feasible. Climate…
DaveronNicola|RENUAIreland|RT @RENUAIreland: Parents of 80 disabled kids vow not to remain silent during abortion debate as families send open letter to Government hi…
DaveronNicola|N/A|RT @RENUAIreland: Parents of 80 disabled kids vow not to remain silent during abortion debate as families send open letter to Government hi…
IRLILaw|PJMedia_com|Pro Abortion Nancy Pelosi Quotes 'Welcome the Children' Bible Verse in Immigration Speech https://t.co/yRIDd8Wrjl #Faith via @PJMedia_com
IRLILaw|N/A|Pro Abortion Nancy Pelosi Quotes 'Welcome the Children' Bible Verse in Immigration Speech https://t.co/yRIDd8Wrjl #Faith via @PJMedia_com
tmhnml1|N/A|David Bereit DESTROYS Bill Nye The Science Guy's incoherent argument for abortion! We would LOVE to see these... https://t.co/nK3brR4pqd
Savethe8thInfo|N/A|But 1 abortion campaigner in MACROOM tried 2 stop pro-life message being shown &amp; attempted 2 VANDALISE the van. Tru… https://t.co/ERVBKmkv8n
IndiaNews777|N/A|Ludhiana: School Principal, Teacher Arrested For Raping 16-year-old Student, Planning Abortion of Foetus… https://t.co/Ps3HKV2fg8
ptuns|irbrodie|RT @irbrodie: He sees a nonexistent right to abortion but doesn’t see the right to be presumed innocent! He needs a lawyer on staff. https:…
ptuns|N/A|RT @irbrodie: He sees a nonexistent right to abortion but doesn’t see the right to be presumed innocent! He needs a lawyer on staff. https:…
Karen_Moore3|DougSides|RT @DougSides: 🇺🇸AMERICAN WOMEN ARE SPEAKING OUT...👉🏼Now 78% Favor Greater Restrictions On Abortion, And The Majority Hold Pro-Life Views!…
Karen_Moore3|N/A|RT @DougSides: 🇺🇸AMERICAN WOMEN ARE SPEAKING OUT...👉🏼Now 78% Favor Greater Restrictions On Abortion, And The Majority Hold Pro-Life Views!…
sheeshkabob|belikeaduck|RT @belikeaduck: I do. I'm a nurse. Worked Labor and Delivery for years. Abortion after five months is almost always a wanted child with a…
sheeshkabob|N/A|RT @belikeaduck: I do. I'm a nurse. Worked Labor and Delivery for years. Abortion after five months is almost always a wanted child with a…
_ohbryan|goodoldcatchy|RT @goodoldcatchy: Jesus wasn’t white. Trump isn’t a Christian. Trickle-down economics doesn’t work. A border wall isn’t feasible. Climate…
_ohbryan|N/A|RT @goodoldcatchy: Jesus wasn’t white. Trump isn’t a Christian. Trickle-down economics doesn’t work. A border wall isn’t feasible. Climate…
BrendaNord5|marypatriott|RT @marypatriott: Who wd have thought we’d see day when 95% of American media actively effectively lie to We the People in order to protect…
BrendaNord5|N/A|RT @marypatriott: Who wd have thought we’d see day when 95% of American media actively effectively lie to We the People in order to protect…
HumanCoalition|Crux|#Canadian #Catholics won’t be bullied into supporting #abortion, bishop says https://t.co/96GmeCTVXT @Crux #ProtectThePreborn
HumanCoalition|N/A|#Canadian #Catholics won’t be bullied into supporting #abortion, bishop says https://t.co/96GmeCTVXT @Crux #ProtectThePreborn
